Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
Mercedes,EQS 580 4MATIC,4.3,210,610,177,800,Yes,AWD,Type 2 CCS,Sedan,F,5,115000
Kia,EV6 GT,3.5,260,395,196,920,Yes,AWD,Type 2 CCS,SUV,C,5,58295
Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Yes,AWD,Type 2 CCS,Sedan,D,5,55480
Skoda ,Enyaq iV 80,8.6,160,420,183,510,Yes,RWD,Type 2 CCS,SUV,C,5,39350
Tesla ,Model 3 Standard Range Plus,5.6,225,340,147,680,Yes,RWD,Type 2 CCS,Sedan,D,5,40990
Volkswagen ,ID.3 Pure Performance,10,160,270,167,250,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000
Mercedes,EQS 450+,6.2,210,640,168,840,Yes,RWD,Type 2 CCS,Sedan,F,5,95000
Tesla ,Model 3 Standard Range Plus LFP,5.6,225,340,150,570,Yes,RWD,Type 2 CCS,Sedan,D,5,40990
Tesla ,Model Y Long Range Dual Motor,5.1,217,450,169,750,Yes,AWD,Type 2 CCS,SUV,D,7,54000
Dacia,Spring Electric,15,125,170,158,120,Yes,FWD,Type 2 CCS,Hatchback,A,4,20500
Nissan,Leaf,7.9,144,225,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,25995
Hyundai,IONIQ 5 Long Range AWD,5.2,185,375,194,870,Yes,AWD,Type 2 CCS,SUV,C,5,45145
Hyundai,Kona Electric 64 kWh,7.9,167,395,162,370,Yes,FWD,Type 2 CCS,SUV,B,5,42000
Audi,e-tron GT RS,3.3,250,405,210,810,Yes,AWD,Type 2 CCS,Sedan,F,4,110950
Volkswagen ,ID.4 1st,8.5,160,410,188,500,Yes,RWD,Type 2 CCS,SUV,C,5,40800
Mercedes,EQA 250,8.9,160,355,187,420,Yes,FWD,Type 2 CCS,SUV,C,5,43495
Aiways,U5,7.5,150,335,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,40000
BMW,i4 eDrive40,5.7,190,475,170,660,Yes,RWD,Type 2 CCS,Sedan,D,5,51905
Tesla ,Model 3 Long Range Dual Motor,4.4,233,490,155,820,Yes,AWD,Type 2 CCS,Sedan,D,5,58000
Volkswagen ,ID.3 Pro S,7.9,160,450,171,550,Yes,RWD,Type 2 CCS,Hatchback,C,4,38800
BMW,iX3,6.8,180,385,192,520,Yes,RWD,Type 2 CCS,SUV,D,5,58850
Peugeot,e-208,8.1,150,275,164,370,Yes,FWD,Type 2 CCS,Hatchback,B,5,27225
Hyundai,IONIQ Electric,9.7,165,250,153,220,Yes,FWD,Type 2 CCS,Sedan,C,5,30550
MG,ZS EV,8.2,140,220,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,25995
Tesla ,Model S Plaid,2.1,322,535,168,800,Yes,AWD,Type 2 CCS,Sedan,F,5,118980
Honda,e,9,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,27660
Volkswagen ,ID.3 Pro,9.6,160,350,166,440,Yes,RWD,Type 2 CCS,Hatchback,C,5,28420
MG,Marvel R Performance,4.9,200,330,197,380,Yes,AWD,Type 2 CCS,SUV,C,5,50000
Volkswagen ,e-Up!,11.9,130,205,158,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,26000
Mazda,MX-30,9.7,140,170,176,180,Yes,FWD,Type 2 CCS,SUV,C,5,26045
Hyundai,IONIQ 5 Long Range 2WD,7.4,185,385,189,890,Yes,RWD,Type 2 CCS,SUV,C,5,41945
Audi,Q4 e-tron 40,8.5,160,405,189,500,Yes,RWD,Type 2 CCS,SUV,C,5,44990
Citroen,e-C4,9.7,150,250,180,330,Yes,FWD,Type 2 CCS,Hatchback,C,5,30895
BMW,iX xDrive50,4.6,200,505,208,620,Yes,AWD,Type 2 CCS,SUV,E,5,91905
Lightyear,One,10,150,575,104,540,Yes,AWD,Type 2 CCS,Sedan,F,5,150000
Renault,Zoe ZE50 R110,11.4,135,315,165,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,26795
BMW,i3 120 Ah,7.3,150,235,161,270,Yes,RWD,Type 2 CCS,Hatchback,B,4,31305
Tesla ,Model 3 Performance,3.3,261,470,162,790,Yes,AWD,Type 2 CCS,Sedan,D,5,59990
BMW,i4 M50,3.9,225,450,179,630,Yes,AWD,Type 2 CCS,Sedan,D,5,63905
Skoda ,Enyaq iV 60,8.7,160,330,176,420,Yes,RWD,Type 2 CCS,SUV,C,5,31995
Kia,e-Niro 64 kWh,7.8,167,370,173,350,Yes,FWD,Type 2 CCS,SUV,C,5,32445
Skoda ,Enyaq iV 80X,6.9,160,405,190,500,Yes,AWD,Type 2 CCS,SUV,C,5,42000
Tesla ,Cybertruck Tri Motor,3,210,750,267,710,Yes,AWD,Type 2 CCS,Pickup Truck,N,6,68000
Audi,Q4 e-tron 35,9,160,280,184,390,Yes,RWD,Type 2 CCS,SUV,C,5,40750
Hyundai,IONIQ 5 Standard Range 2WD,8.5,185,310,187,720,Yes,RWD,Type 2 CCS,SUV,C,5,36995
Volkswagen ,ID.4 Pro Performance,8.5,160,410,188,500,Yes,RWD,Type 2 CCS,SUV,C,5,41570
Porsche,Taycan Turbo S,2.8,260,390,215,860,Yes,AWD,Type 2 CCS,Sedan,F,4,138830
Nissan,Leaf e+,7.3,157,325,172,390,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,30445
Opel,Corsa-e,8.1,150,275,164,370,Yes,FWD,Type 2 CCS,Hatchback,B,5,27140
Audi,e-tron 55 quattro,5.7,200,365,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,71500
Volkswagen ,ID.3 Pro Performance,7.3,160,350,166,440,Yes,RWD,Type 2 CCS,Hatchback,C,5,29740
Kia,EV6 Long Range 2WD,7.5,185,420,184,980,Yes,RWD,Type 2 CCS,SUV,C,5,48000
Hyundai,IONIQ 5 Project 45,5.2,185,370,196,860,Yes,AWD,Type 2 CCS,SUV,C,5,48000
Volkswagen ,ID.4 GTX,6.2,180,400,193,490,Yes,AWD,Type 2 CCS,SUV,C,5,55540
Peugeot,e-2008 SUV,8.5,150,250,180,330,Yes,FWD,Type 2 CCS,SUV,B,5,30730
Hyundai,Kona Electric 64 kWh,7.9,167,395,162,370,Yes,FWD,Type 2 CCS,SUV,B,5,32550
Audi,Q4 e-tron 50 quattro,6.2,180,385,199,470,Yes,AWD,Type 2 CCS,SUV,C,5,51370
Fiat,500e Hatchback 42 kWh,9,150,250,149,420,Yes,FWD,Type 2 CCS,Hatchback,B,4,23995
Skoda ,Enyaq iV 50,11.3,160,295,176,240,Yes,RWD,Type 2 CCS,SUV,C,5,35000
Volvo,XC40 Recharge Twin Pure Electric,4.9,180,340,221,440,Yes,AWD,Type 2 CCS,SUV,C,5,49950
Renault,Zoe ZE50 R135,9.5,140,310,168,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,28795
Tesla ,Model S Long Range,3.2,250,555,162,830,Yes,AWD,Type 2 CCS,Sedan,F,5,83980
Nissan,Ariya 87kWh,7.6,160,445,196,530,Yes,FWD,Type 2 CCS,SUV,C,5,45000
Opel,Mokka-e,8.5,150,255,176,340,Yes,FWD,Type 2 CCS,SUV,B,5,30540
Kia,EV6 Long Range AWD,5.4,185,410,189,950,Yes,AWD,Type 2 CCS,SUV,C,5,52000
Renault,Megane E-Tech Electric,8,160,335,179,480,Yes,FWD,Type 2 CCS,SUV,C,5,32500
Audi,e-tron 50 quattro,6.8,190,280,231,470,Yes,AWD,Type 2 CCS,SUV,E,5,60600
Tesla ,Model Y Performance,3.7,241,430,177,720,Yes,AWD,Type 2 CCS,SUV,D,7,60000
Ford,Mustang Mach-E ER RWD,7,180,440,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,49980
Tesla ,Roadster,2.1,410,970,206,920,Yes,AWD,Type 2 CCS,Cabriolet,S,4,189000
Renault,Twingo Electric,12.6,135,130,164,400,Yes,RWD,Type 2 ,Hatchback,A,4,25000
Skoda ,Enyaq iV RS,6.2,180,395,195,480,Yes,AWD,Type 2 CCS,SUV,C,5,45000
Opel,Ampera-e,7.3,150,335,173,210,Yes,FWD,Type 2 CCS,MPV,B,5,43000
Polestar ,2,4.7,210,400,181,620,Yes,AWD,Type 2 CCS,Liftback,D,5,56440
BMW ,iX3 ,6.8,180,360,206,560,Yes,RWD,Type 2 CCS,SUV,D,5,68040
Honda ,e ,9.5,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997
Lucid ,Air ,2.8,250,610,180,620,Yes,AWD,Type 2 CCS,Sedan,F,5,105000
Volkswagen ,e-Golf ,9.6,150,190,168,220,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900
Peugeot ,e-208 ,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682
Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,Yes,RWD,Type 2 CCS,Sedan,D,5,46380
Audi ,Q4 e-tron ,6.3,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,D,5,55000
